"","X","date","serial_number","model","capacity_bytes","failure","smart_1_normalized","smart_3_normalized","smart_7_normalized","smart_9_raw","smart_12_raw","smart_190_raw"
"773",773,"2016-07-01","S301NK3V","ST4000DM000",4000787030016,0,116,94,83,5906,6,26
"1040",1040,"2016-07-01","MK0311YHGL3H3A","Hitachi HDS723030ALA640",3000592982016,0,100,121,100,43847,28,NA
"1439",1439,"2016-07-01","Z3040YXY","ST4000DM000",4000787030016,0,119,95,85,7088,5,23
"1532",1532,"2016-07-01","Z3015H5K","ST4000DM000",4000787030016,0,114,96,86,20336,4,25
"1857",1857,"2016-07-01","W300960V","ST4000DM000",4000787030016,0,116,91,89,26571,13,25
"1881",1881,"2016-07-01","Z300KK12","ST4000DM000",4000787030016,0,118,91,78,22538,18,33
"1892",1892,"2016-07-01","Z3029H4P","ST4000DM000",4000787030016,0,119,98,87,12247,2,20
"2156",2156,"2016-07-01","Z3029Z3P","ST4000DM000",4000787030016,0,110,91,87,12653,9,29
"2475",2475,"2016-07-01","S300ZNMD","ST4000DM000",4000787030016,0,118,92,84,8769,12,33
"2611",2611,"2016-07-01","Z300GZ34","ST4000DM000",4000787030016,0,115,91,88,25969,16,19
"2833",2833,"2016-07-01","Z3025ZNH","ST4000DM000",4000787030016,0,114,92,88,15003,9,26
"2971",2971,"2016-07-01","S300WF1A","ST4000DM000",4000787030016,0,114,99,84,8096,1,36
"3038",3038,"2016-07-01","Z304KBTA","ST4000DM000",4000787030016,0,120,94,84,5724,6,24
"3103",3103,"2016-07-01","W0Q1SSE0","ST320LT007",320072933376,0,117,98,87,23280,33,35
"3267",3267,"2016-07-01","WD-WXL1H642VM3E","WDC WD60EFRX",6001175126016,0,200,204,100,13740,9,NA
"3973",3973,"2016-07-01","Z3014A4Q","ST4000DM000",4000787030016,0,117,93,87,21876,7,19
"4041",4041,"2016-07-01","Z3029GFH","ST4000DM000",4000787030016,0,118,93,83,12945,7,18
"4386",4386,"2016-07-01","Z303R4WA","ST4000DM000",4000787030016,0,117,95,85,8604,5,21
"4460",4460,"2016-07-01","Z3016PEZ","ST4000DM000",4000787030016,0,115,92,78,18850,11,35
"4705",4705,"2016-07-01","Z3052GC6","ST4000DM000",4000787030016,0,116,93,81,3435,7,26
"4904",4904,"2016-07-01","S3010LZK","ST4000DM000",4000787030016,0,114,98,84,7500,2,37
"5670",5670,"2016-07-01","Z305GXWD","ST4000DM000",4000787030016,0,114,95,82,3244,5,32
"5883",5883,"2016-07-01","Z305DHNQ","ST4000DM000",4000787030016,0,119,96,82,3686,4,35
"6341",6341,"2016-07-01","Z300GPJL","ST4000DM000",4000787030016,0,118,91,89,25972,8,21
"6680",6680,"2016-07-01","Z1Z0470E","ST4000DX000",4000787030016,0,119,90,96,27467,18,40
"6722",6722,"2016-07-01","Z300K8D5","ST4000DM000",4000787030016,0,118,96,88,24609,4,22
"6777",6777,"2016-07-01","W300K1CD","ST4000DM000",4000787030016,0,116,92,87,23206,9,24
"6888",6888,"2016-07-01","S300XANN","ST4000DM000",4000787030016,0,105,100,84,8458,0,25
"6956",6956,"2016-07-01","Z4D05JPB","ST6000DX000",6001175126016,0,117,90,89,11000,8,26
"7178",7178,"2016-07-01","Z304HML7","ST4000DM000",4000787030016,0,112,99,83,5746,1,23
"7518",7518,"2016-07-01","Z3023XA8","ST4000DM000",4000787030016,0,116,91,88,14111,33,24
"7649",7649,"2016-07-01","PL1331LAHBZBDH","HGST HMS5C4040BLE640",4000787030016,0,100,100,100,1689,3,NA
"7969",7969,"2016-07-01","Z3023VD3","ST4000DM000",4000787030016,0,108,91,88,14112,33,24
"8148",8148,"2016-07-01","S300YQ6K","ST4000DM000",4000787030016,0,120,97,84,8383,3,32
"8267",8267,"2016-07-01","Z305KVLL","ST4000DM000",4000787030016,0,119,98,81,3102,2,35
"8644",8644,"2016-07-01","Z3029GYZ","ST4000DM000",4000787030016,0,108,93,89,12945,7,20
"8659",8659,"2016-07-01","Z303C1RC","ST4000DM000",4000787030016,0,120,97,86,7040,3,35
"8891",8891,"2016-07-01","Z300GQD0","ST4000DM000",4000787030016,0,118,91,88,23006,25,24
"9042",9042,"2016-07-01","W300J2V0","ST4000DM000",4000787030016,0,117,92,88,23311,9,21
"9295",9295,"2016-07-01","Z300GZEF","ST4000DM000",4000787030016,0,117,92,89,25973,10,21
"9367",9367,"2016-07-01","S301NHAJ","ST4000DM000",4000787030016,0,117,96,84,6415,4,32
"9389",9389,"2016-07-01","S301PTS3","ST4000DM000",4000787030016,0,119,97,84,5912,3,22
"9452",9452,"2016-07-01","Z304JR9J","ST4000DM000",4000787030016,0,118,91,83,5698,8,19
"9604",9604,"2016-07-01","W300BBG0","ST4000DM000",4000787030016,0,114,91,73,23714,16,28
"9650",9650,"2016-07-01","Z304KA7F","ST4000DM000",4000787030016,0,117,94,84,6443,6,30
